Azure Subscriptions	The billing unit of Azure Services that aggregates all the costs of the underlying resources.
Azure Network Watcher	Provides tools to monitor, diagnose, view metrics and anable or disable logs for resources in azure virtual network. It's designed to monitor and repair the network health of IaaS products which invludes virtual machines, virtual networks, application gateways, load balancers, etc.
Azure Resource Manager	Similar to Terraform, this is the deployment and management service for Azure. It uses Azure's public REST API enpoint to connect to a resources provider, the resource provider then completes the request to either creaete, update or destroy the resource.
Unstructured Data	Data that does not adhere to a particular data model or definition, such as text or binary data.
Azure Marketplace	A collection of additional applications and services to work with azure to add functionality in your Azure environment.
Azure Regions	A set of data centers deployed within a latency-defined perimeter and connected through a dedicated regional low-latency network.
Azure Logs	A devloper created resource used to give you details about specific event that happened in the past, usually used to record a problem where something caused the application to not run as expected.
Azure Metrics	Numerical values that describe some aspect of a system at a particular time. They can be collected at a regular intervals and are useful for alerting because they can be sampled frequently and an alert can be fired quickly with relatively simple logic.
Owner Role	The built in Azure defined role that allows the user assigned this role to manage resources including giving other users access to the resource
Contributor Role	The build in Azure defined role that allows the user assigned this role to manage resources, but not give access to other users.
Reader Role	The built in Azure defined role that allows the user assigned to this role to viewe or read the resource but not manage nor grant access to other users
Authentication	The process of establishing the identity of a person or service looking to access a resource. It involves the act of challenging a party for legitimate credentials, and povides the basis for creating a security principal for identity and access control use. It establishes if they are who they say they are. 
Authorization	The process of establishing what leel off access to an authenticated person or service has. It specifies what data they're allowed to access and what they can do with it.
Azure Active Directory	A cloud-based identity service. It has built in support for synchronizing with your existing on-premises Active Directory or can be used as a standalone product. This means that all your applications, wether on-premises, in the cloud, or even mobile applications can share credentials. Administrators and developers can control access to internal and external data and applications using centralized rules and policies configured in Azure AD.
Multi-Factor Authentication	Provides additional scurity for your identities by requiring two or more elements for full authentication. These elements usually fall into three categories: Something you know, possess and are (biometrics).
Symmetric Encryption	an encryption method in which the same key is used to encrypt and decrypt a message. Also known as a private-key encryption.
Asymmetric Encryption	an encryption method that uses a public key and private key pair. Either key can encrypt but a single key can't deccrypt it's own encrypted data. To decrypt, you need the paired key. Asymmetric encryption is used for things like Transport Layer Security (TLS) (used in HTTPS) and data signing.
Azure Key Vault	A centralized cloud service for storing youor application secrets. It can help you control your applications' secrets by keeping them in a single central location and by providing secure access, permissions controls, and access logging capabilities
Microsoft Azure Information Protection	A cloud-based solution that helps organizations classify and optionally protect documents and emails by applying labels.
Azure Advanaced Threat Protection	A cloud-based security solution that identifies, detects, and helps you investigate advanced threats, compromised identities, and malicious insider actions directed at your organization.
Azure Security Center	A monitoring service that provides threat protection across all of your services both in Azure, and on-premises
Azure Portal	The login portal for the Azure cloud platform. You can use the UI interface to create, update and delete Azure Resources. You can also create an Azure support ticket from within the UI based on your subscription agreement.
Azure Cloud Shell	A browser based environment accessed via Azure portal that can be sue dto script or send commands that allow you to create, update or delete specific resources.
Steps involved in shopping data to Azure	1. Prepare hard drives 2.Create import Job 3. Ship rives to AZ Dc 4. Update tracking 5.Verify the data upload
IPV6 to IPV6 communication is supported without load balancer?	True, to have ipv6 communication between vnets you need an internal load balancer
Commands to create DNS record in AZ and PowerShell	az network dns record-set, New-AzDnsRecordSet -Name www -RecordType A -ZoneName contoso.xyz - ResourceGroupNamem MyResourceGroup -Ttl 3600 -DnsRecords (New-AzDnsRecordConfig -IPv4Address "10.10.10.10")
What effect is evaluated first in Azure Policy	Disabled
How do you enable auto scale on basic web app	Change to standard,enable autoscale,create scale rule.
When using AZ AD user create, what parameters are needed	UPN, DisplayName, password
What is the restore period of an Azure AD user?(30, 60, 90, can't restore)	30 Days
What are actions and not actions	Actions = allowable permissions on role definition, not actions = Denied permissions
How are NotActions used in a role definition A.NotActions are subtracted from the Actions to define the list of permissible operations.B. NotActions are consulted after Actions to deny access to a specific operation. C - NotActions allow you to specify a single operation that is not allowed.	A - NotActions are subtracted from the Actions to define the list of permissible operations.
What tool would you use to monitor subnets	Network Security Group flow logging.
What role is needed to manage access to Azure Resources?	User Access Administrator
Public IP assigned to the NIC will take precedence over one on the load balancer (T F)	True
How many SNAT ports allocated to a load public IP address	1024
How is outbound public traffic used on basic load balancers	All IPs took into consideration but one used. Standard all are used at the same time.
What steps are involved in creating an Azure Bastion?	1.Create Subnet named Azure bastion subnet /27 2.Create Bastion 3.Connect to VM1 using azure portal
In Kubernetes can a POD share Managed disks?	Yes, with Azure Files.
Main steps involved in Registering DNS with Azure	Purchase from registrar, configure forward lookup zone, point NS records to Azure DNS
5 steps to create azure fileshare in powershell	1. New-StorageAccount - Create storage account 2.Get-StorageAccountKeys - grab keys 3.New-AzureStorageContext - login keys etc 4.New-AzureStorageShare - create share 4.CMDKEY - storage access keys 5.New-PSDrive - maps drives
When creating an Azure Bastion, what are the 3 main requirements	Subnet must be called AzureBastionSubnet and created first, CIDR min /27 or larger, standard SKU static IP
What are the minum permissions for an Azure Bastion	Reader role	on the VM, Reader role on the Nic with private IP of the VM, Reader role on Azure Bastion Resource.
What can the Azure AD role, User Administrator do?	Manage all aspects of users and groups, including support tickets, monitoring service tickes, resetting passwords
What can Azure AD role, Billing administrator do?	Make purchases, manage subscriptions, support ticket, monitor service health.
What command would you use to list permissions of a role	AZ role definition list --name or Get-AzRoleDefinition
A basic IP SKU can support availability zones (TF)	False
Name serval services that don't work over global vent peering	VM behind load balancers, VMSS behind basic load balancers, Redis cache, Application gateway, logic apps
What security features does Azure DNS provide	RBAC, activity logs, resource locking
We need to setup and DNS record to point to an Azure load-balancer which record will need to be created? (Record set, A Record, CNAME, AAA)	Record Set
What are the main Services tags 	Virtual Network, AzureLoadBalancer, Internet, Azure Traffic Manager, Storage, SQL, AppService
How would you troubleshoot VPN connectivity? 	 Enabled network watcher, start VPN logging, check security associations, check on permise VPN external devices.
What cmdlets are used to test netwrok connectivity? 	 Ge-AzEffectiveNetworksecgroup Test-AzNetworkWatcherIPFlow
What cmdlet should you run if you are having issues with validation on purchases in the Azure portal?	Set-AzMarketplaceTerms cmdlet
With AZ Copy what access methods can you use to copy data into File Storage? 	SAS Keys only
With AZ Copy what access methods can you use to copy data into Blob Storage? 	Azure AD and SAS keys.
What needs to be installed on a virtual machine to be able to capture all network traffic? 	Network Watcher Agent VM Extension.
When using Network Performance Monitor (NPM) why is the OMS agent needed? 	Service Connection reliablity, Performance monitor, Express route monitor
What is IP flow used for and the powershell command to run? 	Check if packets are allowed or denied on a NSG Test-AzNetworkWatcherIPFlow
What is connection monitor used for and what PowerShell command is used? 	Check two VMs can communicate, latency, can probe at regular intervals can monitor IP for FQDN New-AzNetwrokWatcherConnectionMonitor
How many email messages can an action group send in 1 hour? 	60 - 1 per minute
How many SMS messages can an action group send in 1 hour? 	12 - 1 per 5 minutes
How often can a voice call be used in an action gropu? 	1 voice every 5 minutes
What files isused to customise Linux on first boot? A- Answer.ini,B- cloudinit.txt,C - unattended.conf,D- unattended.xml 	Cloudinit.txt
What tool can be used to import Azure DNS and the command? 	AZ CLI az netwrok DNS zone import
How many minutes can a basic (plan) web app run for? 	240 minutes
How many minutes can a shared web app run for? 	60 minutes
What are the 5 steps needed to create Azure File Sync? 	-Allow port 4443 outbound, create file sync service, install agent on server and register, create sync group and cloud endpoint, register server and share
What is the maxx quito for vCPU on a subscription and if i have a VM is deallocated, does this count towards my quota? 	20 - both allocated and deallocated machines count.
Do free space policies for azure file sync apply to each server individually? 	No Most restrictive applied.
How do you configure a report to be sent to individuals for resources consuming more than expected?	Configure report in the const management portal, JSON or CSV
When would you use WaImportV2 over WalImportV1 when using teh Azure Import/Export Service? 	If you need to import into Azure Files v2 is needed.
What happens with duplicate files on Azure File sync 	-servername is appended into the filename.
Azure Export Jobs Steps 	Create export job specify containers, Check the number of Drive with WAImportExport, ship empty drives to Ms with tracking, update tracking, recieve and unlock with bitlocker keys
What app service plan supports webjobs? 	Basic App plan
Which mode in JSON templates for Azure Policy checked the features supported? 	Indexed
What is the minimum App Service Plan needed to use deployment slots? 	 	 Standard App Service Plan
I have a web app that needs to run for 240 (mins) per day what is the best Dev test plan for me? 	D1 App Service Plan
I have a basic app service plan, can I do cloning? If not what plan is needed 	Standard App Service Plan
What is the SLA for 2x VMs across 2x AV Zones in the same region? 	99.99%
What is the SLA for 2x VMs across 1x AV set? 	99.95%
What is the SLA for 1x VM across SSD for OS and Data? 	99.9%
What is the maximum amount of fault domains? 	3
What is the maximum number of update domains? 	20
Azure private DNS needs to be linked to multiple VNETS (T/F) 	True
What command is used to update VPN gateway with subnet? A.Set-AzLocalNetwrokGateway B.Set-AzNetwrokInterface C.Add-AzVirtualNetwrokSubnetConfig 	Set-AzLocalNetworkGateway
Which two features are not supported on Azure File Sync Service? 	Deduplication, scale-out file server (has to be general)
What are the 4 steps involved in troubleshooting VPN issues? 	Enable Netwrok Watcher, Start VPN logging, Check SEC associations, Check onpremise VPN external interfaces
What DNS records are needed to verify a custom domain on App service? 	TXT for applicationcs.azurewebsites.net
What is the maximum recovery period for Azure File Shares (10 years, 365 days, 31 days, 120 days) 	10 years retention
Which two files should you create before you prepare the drives for the import job? Each correct answer presents part of the solution. (a drive set CSV file, a JSON configuration file, a powershell ps1 file, a dataset CSV file) 	a driveset CSV file and a dataset CSV file.
